Step        Temp           TotEng       E_pair      PotEng      KinEng
  210000    616.02933   -28.888517   -29.286657   -29.286657    0.3981402 
  211000    619.27306   -28.570823    -28.97106    -28.97106   0.40023663 
  212000    648.14781   -28.462171   -28.881069   -28.881069    0.4188984 
  213000    630.94266   -28.661738   -29.069516   -29.069516    0.4077787 
  214000    622.79029   -28.540291   -28.942801   -28.942801   0.40250981 
  215000    646.18465   -28.447688   -28.865317   -28.865317   0.41762961 
  216000    625.75445    -28.17108   -28.575506   -28.575506   0.40442555 
  217000    636.83594   -28.617634   -29.029222   -29.029222   0.41158753 
  218000    632.38108   -28.796798   -29.205506   -29.205506   0.40870835 
  219000    650.26127   -28.497207   -28.917471   -28.917471   0.42026433 
  220000    650.02898   -28.541282   -28.961396   -28.961396    0.4201142 
  221000    563.55474   -28.542753   -28.906979   -28.906979   0.36422584 
  222000    656.24765   -28.437782   -28.861915   -28.861915   0.42413333 
  223000    676.69464    -28.31157   -28.748919   -28.748919   0.43734823 
  224000    646.94094   -28.548292    -28.96641    -28.96641    0.4181184 
  225000    662.24941   -28.436205   -28.864217   -28.864217   0.42801228 
  226000    658.94244   -28.706128   -29.132003   -29.132003   0.42587497 
  227000    668.63479   -28.842206   -29.274345   -29.274345   0.43213915 
  228000    683.24334   -28.575713   -29.017293   -29.017293   0.44158067 
  229000    652.40147   -28.204855   -28.626502   -28.626502   0.42164755 
  230000    685.34463   -28.868958   -29.311897   -29.311897   0.44293873 
  231000     696.1724   -28.583438   -29.033375   -29.033375   0.44993673 
  232000    668.39249   -28.606633   -29.038615   -29.038615   0.43198255 
  233000    678.83268    -28.81575    -29.25448    -29.25448   0.43873005 
  234000     761.1801   -28.667609    -29.15956    -29.15956   0.49195125 
  235000    686.91195   -28.571368    -29.01532    -29.01532   0.44395169 
  236000    732.75459   -28.711093   -29.184673   -29.184673   0.47357982 
  237000    739.79636   -28.893305   -29.371436   -29.371436   0.47813093 
  238000    667.67111   -28.063292   -28.494808   -28.494808   0.43151632 
  239000    746.67781   -28.274107   -28.756686   -28.756686   0.48257841 
  240000    777.29688    -28.17154   -28.673907   -28.673907   0.50236754 
  241000    727.17436   -28.495467    -28.96544    -28.96544   0.46997332 
  242000    742.70107   -28.931629   -29.411637   -29.411637   0.48000824 
  243000    797.22462   -28.145557   -28.660804   -28.660804   0.51524685 
  244000    742.31236   -28.624489   -29.104246   -29.104246   0.47975702 
  245000    758.45377   -28.729308   -29.219497   -29.219497   0.49018922 
  246000    735.16028   -28.719668   -29.194803   -29.194803   0.47513462 
  247000    788.48543   -28.529924   -29.039523   -29.039523   0.50959871 
  248000    700.34838     -27.9497   -28.402336   -28.402336   0.45263566 
  249000    743.77482   -28.979212   -29.459914   -29.459914   0.48070221 
  250000    773.62974   -28.283677   -28.783675   -28.783675   0.49999746 
  251000    712.42099   -28.593946   -29.054385   -29.054385    0.4604382 
  252000    758.49598   -28.726381   -29.216598   -29.216598    0.4902165 
  253000    756.04632   -28.324533   -28.813166   -28.813166   0.48863329 
  254000     792.0718   -28.737419   -29.249336   -29.249336   0.51191658 
  255000    820.97745   -28.441602     -28.9722     -28.9722   0.53059832 
  256000    700.85241   -28.361785   -28.814746   -28.814746   0.45296142 
  257000    805.59284   -28.777056   -29.297711   -29.297711   0.52065523 
  258000    782.35019   -28.572855   -29.078489   -29.078489    0.5056335 
  259000    833.79526    -28.40019   -28.939072   -28.939072   0.53888248 
  260000    694.51543   -28.621978   -29.070844   -29.070844   0.44886582 
  261000     750.4494   -28.511179   -28.996195   -28.996195   0.48501599 
  262000    773.15356   -28.113248   -28.612938   -28.612938   0.49968971 
  263000    808.19519   -28.836694   -29.359031   -29.359031   0.52233714 
  264000    841.90613   -27.997627   -28.541752   -28.541752   0.54412454 
  265000     780.4847   -28.380286   -28.884714   -28.884714   0.50442783 
  266000     768.8176   -28.847653    -29.34454    -29.34454   0.49688737 
  267000    764.78971   -27.450149   -27.944434   -27.944434   0.49428414 
  268000    757.92969   -28.683566   -29.173417   -29.173417   0.48985051 
  269000    856.33477   -28.089413   -28.642863   -28.642863   0.55344978 
  270000    727.72159    -28.42889   -28.899217   -28.899217   0.47032699 
  271000    819.50173   -28.621881   -29.151525   -29.151525   0.52964456 
  272000    842.73464   -28.269927   -28.814587   -28.814587   0.54466001 
  273000    824.89477   -28.487128   -29.020258   -29.020258   0.53313009 
  274000    858.78337   -28.450087   -29.005119   -29.005119   0.55503232 
  275000    828.16061   -28.169106   -28.704347   -28.704347   0.53524081 
  276000    798.32851   -28.349632   -28.865593   -28.865593    0.5159603 
  277000    840.87257    -28.56088   -29.104337   -29.104337   0.54345655 
  278000    851.29453   -28.674506   -29.224698   -29.224698   0.55019227 
  279000    912.97039   -28.411959   -29.002012   -29.002012   0.59005342 
  280000    850.79671   -28.361228   -28.911099   -28.911099   0.54987053 
  281000    852.15268   -28.617231   -29.167978   -29.167978    0.5507469 
  282000     846.1502   -28.341503   -28.888371   -28.888371   0.54686749 
  283000    848.87846   -28.584179    -29.13281    -29.13281   0.54863076 
  284000    829.48494    -28.44664   -28.982737   -28.982737   0.53609672 
  285000    873.74778   -28.462959   -29.027663   -29.027663   0.56470382 
  286000    887.17761   -28.498161   -29.071544   -29.071544   0.57338354 
  287000    897.20149   -28.443644   -29.023506   -29.023506   0.57986197 
  288000     875.8145   -28.448752   -29.014791   -29.014791   0.56603954 
  289000    852.98058   -28.436106   -28.987388   -28.987388   0.55128197 
  290000     914.0347   -28.257378   -28.848119   -28.848119   0.59074129 
  291000    866.50487    -28.49831   -29.058332   -29.058332   0.56002273 
  292000    891.46381    -28.69792   -29.274074   -29.274074   0.57615371 
  293000    925.35173   -28.690883   -29.288939   -29.288939   0.59805549 
  294000    904.73175   -27.990043   -28.574772   -28.574772   0.58472879 
  295000    855.30176   -28.729375   -29.282157   -29.282157   0.55278215 
  296000      855.339   -28.434133   -28.986939   -28.986939   0.55280621 
  297000    915.62594   -28.228438   -28.820207   -28.820207   0.59176971 
  298000    922.45034   -28.712121   -29.308301   -29.308301   0.59618032 
  299000    948.37549    -28.42423   -29.037166   -29.037166   0.61293577 
  300000    956.41264   -28.098991   -28.717121   -28.717121   0.61813018 
  301000    1041.8868   -28.051442   -28.724814   -28.724814   0.67337216 
  302000    989.16857   -28.335826   -28.975126   -28.975126   0.63930036 
  303000    911.13844   -28.326085   -28.914954   -28.914954   0.58886944 
  304000    1007.6338   -27.825198   -28.476432   -28.476432   0.65123447 
  305000    864.92512   -28.303349   -28.862351   -28.862351   0.55900173 
  306000    844.02385   -28.250519   -28.796013   -28.796013   0.54549323 
  307000    917.84445   -28.395045   -28.988249   -28.988249   0.59320353 
  308000     881.8231   -28.261272   -28.831195   -28.831195   0.56992291 
  309000    874.80959   -28.694089   -29.259479   -29.259479   0.56539007 
  310000     907.9893   -28.307158   -28.893992   -28.893992   0.58683414 
  311000    936.78354   -28.291824   -28.897268   -28.897268   0.60544388 
  312000    958.44336   -28.231167   -28.850609   -28.850609   0.61944264 
  313000    961.79484    -28.55694   -29.178548   -29.178548    0.6216087 
  314000    851.30669   -28.365933   -28.916133   -28.916133   0.55020013 
  315000    862.13816   -28.029506   -28.586707   -28.586707   0.55720052 
  316000    919.71577   -28.326643   -28.921056   -28.921056   0.59441297 
  317000    899.78627   -28.437495   -29.019027   -29.019027   0.58153252 
  318000    970.96906    -28.13298   -28.760518   -28.760518     0.627538 
  319000    807.72944   -27.535121   -28.057157   -28.057157   0.52203612 
  320000    958.17144   -28.302289   -28.921556   -28.921556   0.61926689 
  321000    999.53038   -28.357239   -29.003236   -29.003236   0.64599721 
  322000    979.44176   -27.899019   -28.532033   -28.532033   0.63301392 
  323000    926.83188   -28.476629   -29.075641   -29.075641   0.59901212 
  324000    1031.9905   -27.985358   -28.652334   -28.652334   0.66697619 
  325000    859.87153   -27.695586   -28.251322   -28.251322   0.55573559 
  326000    991.21009   -28.639896   -29.280516   -29.280516    0.6406198 
  327000    1001.3033    -27.79032   -28.437463   -28.437463   0.64714307 
  328000    988.64912   -28.443385   -29.082349   -29.082349   0.63896464 
  329000    1027.6249   -28.473118   -29.137272   -29.137272   0.66415472 
  330000    982.26487   -27.714277   -28.349116   -28.349116    0.6348385 
  331000    938.42175   -28.447215   -29.053718   -29.053718   0.60650266 
  332000    958.29271   -28.575535    -29.19488    -29.19488   0.61934527 
  333000    870.28852   -27.262841   -27.825309   -27.825309    0.5624681 
  334000    1000.5763   -28.259213   -28.905886   -28.905886   0.64667316 
  335000    942.95556   -27.788265   -28.397698   -28.397698   0.60943286 
  336000    1047.0084    -28.17194   -28.848622   -28.848622   0.67668228 
  337000    1091.4322   -28.439583   -29.144977   -29.144977   0.70539344 
  338000    1039.2574    -27.94348   -28.615153   -28.615153   0.67167283 
  339000    1043.5664   -28.403229   -29.077687   -29.077687   0.67445771 
  340000    989.68811   -27.834699   -28.474335   -28.474335   0.63963614 
  341000    1003.8851   -28.090774   -28.739586   -28.739586   0.64881164 
  342000    962.49801   -28.647639   -29.269703   -29.269703   0.62206316 
  343000    1097.5171   -27.265901   -27.975227   -27.975227    0.7093261 
  344000    1005.9036   -28.480742   -29.130859   -29.130859    0.6501162 
  345000    1133.1689   -27.985429   -28.717797   -28.717797    0.7323679 
  346000    991.82335   -27.803829   -28.444845   -28.444845   0.64101615 
  347000     1135.037   -28.193753   -28.927328   -28.927328   0.73357526 
  348000    980.39066   -28.004029   -28.637657   -28.637657   0.63362719 
  349000    1149.8643   -27.954056   -28.697214   -28.697214   0.74315811 
  350000    1001.4276   -28.565687    -29.21291    -29.21291   0.64722341 
  351000    1131.9675   -28.205476   -28.937067   -28.937067   0.73159145 
  352000    975.27354   -28.196524   -28.826844   -28.826844      0.63032 
  353000    1095.5744   -28.278909    -28.98698    -28.98698   0.70807051 
  354000    1093.8811   -28.263693   -28.970669   -28.970669   0.70697616 
  355000    953.93452   -27.389346   -28.005875   -28.005875   0.61652857 
  356000    1072.2933   -28.426838   -29.119862   -29.119862   0.69302391 
  357000    1069.9766   -28.039804    -28.73133    -28.73133   0.69152666 
  358000    1129.6378   -27.901698   -28.631783   -28.631783   0.73008574 
  359000    1057.2436   -28.437599   -29.120897   -29.120897   0.68329732 
  360000    1089.7038   -27.700593   -28.404869   -28.404869   0.70427638 
  361000    1071.3409   -28.392684   -29.085093   -29.085093    0.6924084 
  362000    1092.5272   -27.838813   -28.544914   -28.544914   0.70610112 
  363000    1091.0586   -28.016979   -28.722131   -28.722131   0.70515194 
  364000    1077.8106    -28.18939    -28.88598    -28.88598   0.69658978 
  365000    1139.7617   -27.812524   -28.549153   -28.549153   0.73662884 
  366000    1102.0781   -28.439497   -29.151771   -29.151771   0.71227385 
  367000    1068.8035   -27.676819   -28.367588   -28.367588   0.69076849 
  368000    1101.0367   -28.158989    -28.87059    -28.87059    0.7116008 
  369000    1083.3824   -28.192459    -28.89265    -28.89265   0.70019084 
  370000    1166.6387   -28.057171   -28.811171   -28.811171   0.75399942 
  371000    1069.6011   -28.298093   -28.989377   -28.989377     0.691284 
  372000    1134.9398   -27.977925   -28.711437   -28.711437   0.73351244 
  373000    1131.4563   -27.983414   -28.714675   -28.714675   0.73126104 
  374000    1150.2853   -28.367563   -29.110993   -29.110993   0.74343021 
  375000    1176.5394    -27.84625   -28.606648   -28.606648   0.76039825 
  376000    1069.7612   -27.896258   -28.587645   -28.587645   0.69138745 
  377000    1079.6746   -27.948803   -28.646597   -28.646597    0.6977945 
  378000    1206.4583   -27.656793   -28.436528   -28.436528   0.77973484 
  379000    1107.0169   -27.570715   -28.286181   -28.286181   0.71546583 
  380000    1163.5285   -28.222783   -28.974773   -28.974773    0.7519893 
  381000    1178.3454   -28.058846   -28.820412   -28.820412   0.76156546 
  382000    1140.5575   -27.689788   -28.426931   -28.426931   0.73714312 
  383000    1102.1461   -28.185226   -28.897544   -28.897544    0.7123178 
  384000     1242.729   -28.302893    -29.10607    -29.10607   0.80317668 
  385000    1158.7297   -27.669021   -28.417909   -28.417909   0.74888781 
  386000    1252.8741   -28.015893   -28.825626   -28.825626   0.80973347 
  387000    1120.9461   -27.838004   -28.562472   -28.562472   0.72446829 
  388000    1153.2671   -27.743621   -28.488979   -28.488979   0.74535736 
  389000    1115.2381   -28.332086   -29.052866   -29.052866   0.72077922 
  390000    1221.8524    -27.65423   -28.443914   -28.443914   0.78968406 
  391000    1209.7001   -27.336133   -28.117963   -28.117963   0.78183008 
  392000    1115.7922   -28.153967   -28.875104   -28.875104   0.72113733 
  393000    1225.2637   -28.192037   -28.983926   -28.983926   0.79188881 
  394000    1183.9862   -27.194566   -27.959778   -27.959778   0.76521113 
  395000    1073.7751   -27.581373   -28.275355   -28.275355   0.69398162 
  396000     1270.295   -28.030614   -28.851606   -28.851606    0.8209926 
  397000    1261.9421   -27.594152   -28.409746   -28.409746   0.81559412 
  398000    914.76765   -27.094151   -27.685366   -27.685366     0.591215 
  399000    1244.7441   -28.022978   -28.827457   -28.827457   0.80447899 
  400000     1182.244   -28.065883   -28.829968   -28.829968   0.76408517 
  401000    1185.1829   -28.160957   -28.926942   -28.926942   0.76598455 
  402000    1305.8411   -27.844274   -28.688241   -28.688241   0.84396608 
  403000    1146.3063   -28.292064   -29.032922   -29.032922   0.74085861 
